group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_clone_relaxed,pvec-rrbvec-balanced,600,,,71736009.0,ns,1901
push_clone_relaxed,pvec-rrbvec-balanced,600,,,141685827.0,ns,3802
push_clone_relaxed,pvec-rrbvec-balanced,600,,,213165786.0,ns,5703
push_clone_relaxed,pvec-rrbvec-balanced,600,,,284245602.0,ns,7604
push_clone_relaxed,pvec-rrbvec-balanced,600,,,356000277.0,ns,9505
push_clone_relaxed,pvec-rrbvec-balanced,600,,,426559198.0,ns,11406
push_clone_relaxed,pvec-rrbvec-balanced,600,,,499469114.0,ns,13307
push_clone_relaxed,pvec-rrbvec-balanced,600,,,570938757.0,ns,15208
push_clone_relaxed,pvec-rrbvec-balanced,600,,,641645325.0,ns,17109
push_clone_relaxed,pvec-rrbvec-balanced,600,,,714486449.0,ns,19010
