group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_clone_relaxed,pvec-rrbvec-relaxed,20000,,,73283376.0,ns,51
push_clone_relaxed,pvec-rrbvec-relaxed,20000,,,145486501.0,ns,102
push_clone_relaxed,pvec-rrbvec-relaxed,20000,,,218195802.0,ns,153
push_clone_relaxed,pvec-rrbvec-relaxed,20000,,,291105080.0,ns,204
push_clone_relaxed,pvec-rrbvec-relaxed,20000,,,363888146.0,ns,255
push_clone_relaxed,pvec-rrbvec-relaxed,20000,,,437031398.0,ns,306
push_clone_relaxed,pvec-rrbvec-relaxed,20000,,,511413500.0,ns,357
push_clone_relaxed,pvec-rrbvec-relaxed,20000,,,584470572.0,ns,408
push_clone_relaxed,pvec-rrbvec-relaxed,20000,,,654245475.0,ns,459
push_clone_relaxed,pvec-rrbvec-relaxed,20000,,,732259779.0,ns,510
