group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_clone_relaxed,pvec-std,10000,,,78249931.0,ns,108
push_clone_relaxed,pvec-std,10000,,,155933251.0,ns,216
push_clone_relaxed,pvec-std,10000,,,241584604.0,ns,324
push_clone_relaxed,pvec-std,10000,,,315293508.0,ns,432
push_clone_relaxed,pvec-std,10000,,,392541140.0,ns,540
push_clone_relaxed,pvec-std,10000,,,473094150.0,ns,648
push_clone_relaxed,pvec-std,10000,,,551241038.0,ns,756
push_clone_relaxed,pvec-std,10000,,,630513027.0,ns,864
push_clone_relaxed,pvec-std,10000,,,709534174.0,ns,972
push_clone_relaxed,pvec-std,10000,,,790345835.0,ns,1080
