group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_clone_relaxed,rbvec,800,,,68882047.0,ns,1717
push_clone_relaxed,rbvec,800,,,135188772.0,ns,3434
push_clone_relaxed,rbvec,800,,,203774957.0,ns,5151
push_clone_relaxed,rbvec,800,,,270670373.0,ns,6868
push_clone_relaxed,rbvec,800,,,340508977.0,ns,8585
push_clone_relaxed,rbvec,800,,,405431517.0,ns,10302
push_clone_relaxed,rbvec,800,,,474520911.0,ns,12019
push_clone_relaxed,rbvec,800,,,541264427.0,ns,13736
push_clone_relaxed,rbvec,800,,,609000187.0,ns,15453
push_clone_relaxed,rbvec,800,,,675991558.0,ns,17170
