group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_clone_relaxed,rrbvec,400,,,55954368.0,ns,2918
push_clone_relaxed,rrbvec,400,,,108798440.0,ns,5836
push_clone_relaxed,rrbvec,400,,,163814287.0,ns,8754
push_clone_relaxed,rrbvec,400,,,220055480.0,ns,11672
push_clone_relaxed,rrbvec,400,,,276120211.0,ns,14590
push_clone_relaxed,rrbvec,400,,,328006726.0,ns,17508
push_clone_relaxed,rrbvec,400,,,383502397.0,ns,20426
push_clone_relaxed,rrbvec,400,,,447681715.0,ns,23344
push_clone_relaxed,rrbvec,400,,,499347881.0,ns,26262
push_clone_relaxed,rrbvec,400,,,553058379.0,ns,29180
