group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_relaxed,im-rs-vector-balanced,10000,,,34631185.0,ns,252
push_relaxed,im-rs-vector-balanced,10000,,,69112757.0,ns,504
push_relaxed,im-rs-vector-balanced,10000,,,103641705.0,ns,756
push_relaxed,im-rs-vector-balanced,10000,,,138485842.0,ns,1008
push_relaxed,im-rs-vector-balanced,10000,,,176219628.0,ns,1260
push_relaxed,im-rs-vector-balanced,10000,,,209163721.0,ns,1512
push_relaxed,im-rs-vector-balanced,10000,,,242463734.0,ns,1764
push_relaxed,im-rs-vector-balanced,10000,,,277906508.0,ns,2016
push_relaxed,im-rs-vector-balanced,10000,,,311361731.0,ns,2268
push_relaxed,im-rs-vector-balanced,10000,,,346868648.0,ns,2520
