group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_relaxed,im-rs-vector-balanced,600,,,33281322.0,ns,4112
push_relaxed,im-rs-vector-balanced,600,,,66158137.0,ns,8224
push_relaxed,im-rs-vector-balanced,600,,,99373203.0,ns,12336
push_relaxed,im-rs-vector-balanced,600,,,132877431.0,ns,16448
push_relaxed,im-rs-vector-balanced,600,,,169069736.0,ns,20560
push_relaxed,im-rs-vector-balanced,600,,,201194036.0,ns,24672
push_relaxed,im-rs-vector-balanced,600,,,236091331.0,ns,28784
push_relaxed,im-rs-vector-balanced,600,,,270073675.0,ns,32896
push_relaxed,im-rs-vector-balanced,600,,,304895140.0,ns,37008
push_relaxed,im-rs-vector-balanced,600,,,337494161.0,ns,41120
