group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_relaxed,im-rs-vector-relaxed,40,,,26528012.0,ns,36426
push_relaxed,im-rs-vector-relaxed,40,,,50488161.0,ns,72852
push_relaxed,im-rs-vector-relaxed,40,,,76555891.0,ns,109278
push_relaxed,im-rs-vector-relaxed,40,,,102784467.0,ns,145704
push_relaxed,im-rs-vector-relaxed,40,,,128024943.0,ns,182130
push_relaxed,im-rs-vector-relaxed,40,,,154118977.0,ns,218556
push_relaxed,im-rs-vector-relaxed,40,,,178972114.0,ns,254982
push_relaxed,im-rs-vector-relaxed,40,,,204761863.0,ns,291408
push_relaxed,im-rs-vector-relaxed,40,,,235447224.0,ns,327834
push_relaxed,im-rs-vector-relaxed,40,,,256959486.0,ns,364260
