group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_relaxed,pvec-rrbvec-balanced,600,,,22143483.0,ns,5477
push_relaxed,pvec-rrbvec-balanced,600,,,42230992.0,ns,10954
push_relaxed,pvec-rrbvec-balanced,600,,,63498380.0,ns,16431
push_relaxed,pvec-rrbvec-balanced,600,,,86218819.0,ns,21908
push_relaxed,pvec-rrbvec-balanced,600,,,107877035.0,ns,27385
push_relaxed,pvec-rrbvec-balanced,600,,,129851715.0,ns,32862
push_relaxed,pvec-rrbvec-balanced,600,,,152564415.0,ns,38339
push_relaxed,pvec-rrbvec-balanced,600,,,177514254.0,ns,43816
push_relaxed,pvec-rrbvec-balanced,600,,,197944231.0,ns,49293
push_relaxed,pvec-rrbvec-balanced,600,,,241114981.0,ns,54770
