group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_relaxed,pvec-rrbvec-balanced,60000,,,21274327.0,ns,57
push_relaxed,pvec-rrbvec-balanced,60000,,,42927704.0,ns,114
push_relaxed,pvec-rrbvec-balanced,60000,,,64173043.0,ns,171
push_relaxed,pvec-rrbvec-balanced,60000,,,86136573.0,ns,228
push_relaxed,pvec-rrbvec-balanced,60000,,,107810376.0,ns,285
push_relaxed,pvec-rrbvec-balanced,60000,,,128514409.0,ns,342
push_relaxed,pvec-rrbvec-balanced,60000,,,150962824.0,ns,399
push_relaxed,pvec-rrbvec-balanced,60000,,,172117572.0,ns,456
push_relaxed,pvec-rrbvec-balanced,60000,,,193572178.0,ns,513
push_relaxed,pvec-rrbvec-balanced,60000,,,218488897.0,ns,570
