group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_relaxed,pvec-rrbvec-relaxed,8000,,,19337126.0,ns,370
push_relaxed,pvec-rrbvec-relaxed,8000,,,37649300.0,ns,740
push_relaxed,pvec-rrbvec-relaxed,8000,,,56424034.0,ns,1110
push_relaxed,pvec-rrbvec-relaxed,8000,,,74805581.0,ns,1480
push_relaxed,pvec-rrbvec-relaxed,8000,,,93575986.0,ns,1850
push_relaxed,pvec-rrbvec-relaxed,8000,,,112590423.0,ns,2220
push_relaxed,pvec-rrbvec-relaxed,8000,,,131574946.0,ns,2590
push_relaxed,pvec-rrbvec-relaxed,8000,,,150383236.0,ns,2960
push_relaxed,pvec-rrbvec-relaxed,8000,,,171343289.0,ns,3330
push_relaxed,pvec-rrbvec-relaxed,8000,,,189339050.0,ns,3700
