group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_relaxed,pvec-std,60,,,38118707.0,ns,92849
push_relaxed,pvec-std,60,,,82429840.0,ns,185698
push_relaxed,pvec-std,60,,,138600622.0,ns,278547
push_relaxed,pvec-std,60,,,173693882.0,ns,371396
push_relaxed,pvec-std,60,,,204225593.0,ns,464245
push_relaxed,pvec-std,60,,,238937170.0,ns,557094
push_relaxed,pvec-std,60,,,320193557.0,ns,649943
push_relaxed,pvec-std,60,,,361066089.0,ns,742792
push_relaxed,pvec-std,60,,,401225778.0,ns,835641
push_relaxed,pvec-std,60,,,460038246.0,ns,928490
