group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_relaxed,pvec-std,8000,,,41136184.0,ns,2122
push_relaxed,pvec-std,8000,,,83524606.0,ns,4244
push_relaxed,pvec-std,8000,,,126118566.0,ns,6366
push_relaxed,pvec-std,8000,,,168560541.0,ns,8488
push_relaxed,pvec-std,8000,,,209844878.0,ns,10610
push_relaxed,pvec-std,8000,,,251154299.0,ns,12732
push_relaxed,pvec-std,8000,,,296173599.0,ns,14854
push_relaxed,pvec-std,8000,,,330582630.0,ns,16976
push_relaxed,pvec-std,8000,,,367769532.0,ns,19098
push_relaxed,pvec-std,8000,,,408934526.0,ns,21220
