group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_relaxed,rrbvec,1000,,,17699078.0,ns,2573
push_relaxed,rrbvec,1000,,,32903997.0,ns,5146
push_relaxed,rrbvec,1000,,,50984630.0,ns,7719
push_relaxed,rrbvec,1000,,,67662351.0,ns,10292
push_relaxed,rrbvec,1000,,,86587092.0,ns,12865
push_relaxed,rrbvec,1000,,,100483747.0,ns,15438
push_relaxed,rrbvec,1000,,,117907444.0,ns,18011
push_relaxed,rrbvec,1000,,,136833632.0,ns,20584
push_relaxed,rrbvec,1000,,,152329606.0,ns,23157
push_relaxed,rrbvec,1000,,,169538123.0,ns,25730
