group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_relaxed,rrbvec,8000,,,18634441.0,ns,368
push_relaxed,rrbvec,8000,,,36573273.0,ns,736
push_relaxed,rrbvec,8000,,,55470243.0,ns,1104
push_relaxed,rrbvec,8000,,,74082042.0,ns,1472
push_relaxed,rrbvec,8000,,,92628640.0,ns,1840
push_relaxed,rrbvec,8000,,,110590098.0,ns,2208
push_relaxed,rrbvec,8000,,,129746712.0,ns,2576
push_relaxed,rrbvec,8000,,,148163403.0,ns,2944
push_relaxed,rrbvec,8000,,,166735650.0,ns,3312
push_relaxed,rrbvec,8000,,,185093371.0,ns,3680
