group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_relaxed,std-vec,100,,,19411781.0,ns,57572
push_relaxed,std-vec,100,,,37065889.0,ns,115144
push_relaxed,std-vec,100,,,55478487.0,ns,172716
push_relaxed,std-vec,100,,,76047315.0,ns,230288
push_relaxed,std-vec,100,,,93906006.0,ns,287860
push_relaxed,std-vec,100,,,112975471.0,ns,345432
push_relaxed,std-vec,100,,,132017997.0,ns,403004
push_relaxed,std-vec,100,,,151593079.0,ns,460576
push_relaxed,std-vec,100,,,181952934.0,ns,518148
push_relaxed,std-vec,100,,,192117554.0,ns,575720
