group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_relaxed,std-vec,20,,,17391411.0,ns,100402
push_relaxed,std-vec,20,,,32052324.0,ns,200804
push_relaxed,std-vec,20,,,47996815.0,ns,301206
push_relaxed,std-vec,20,,,67783743.0,ns,401608
push_relaxed,std-vec,20,,,82645060.0,ns,502010
push_relaxed,std-vec,20,,,99264386.0,ns,602412
push_relaxed,std-vec,20,,,121801455.0,ns,702814
push_relaxed,std-vec,20,,,133857976.0,ns,803216
push_relaxed,std-vec,20,,,152147951.0,ns,903618
push_relaxed,std-vec,20,,,171968511.0,ns,1004020
