group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
split_off,im-rs-vector-relaxed,30000,,,44381208.0,ns,119
split_off,im-rs-vector-relaxed,30000,,,93633801.0,ns,238
split_off,im-rs-vector-relaxed,30000,,,140724730.0,ns,357
split_off,im-rs-vector-relaxed,30000,,,186900939.0,ns,476
split_off,im-rs-vector-relaxed,30000,,,229123027.0,ns,595
split_off,im-rs-vector-relaxed,30000,,,274577926.0,ns,714
split_off,im-rs-vector-relaxed,30000,,,321330945.0,ns,833
split_off,im-rs-vector-relaxed,30000,,,368925006.0,ns,952
split_off,im-rs-vector-relaxed,30000,,,418440350.0,ns,1071
split_off,im-rs-vector-relaxed,30000,,,463626772.0,ns,1190
