group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
split_off,pvec-rrbvec-relaxed,10000,,,65848887.0,ns,479
split_off,pvec-rrbvec-relaxed,10000,,,128635337.0,ns,958
split_off,pvec-rrbvec-relaxed,10000,,,196799654.0,ns,1437
split_off,pvec-rrbvec-relaxed,10000,,,261382347.0,ns,1916
split_off,pvec-rrbvec-relaxed,10000,,,321285332.0,ns,2395
split_off,pvec-rrbvec-relaxed,10000,,,397740856.0,ns,2874
split_off,pvec-rrbvec-relaxed,10000,,,455113249.0,ns,3353
split_off,pvec-rrbvec-relaxed,10000,,,519738254.0,ns,3832
split_off,pvec-rrbvec-relaxed,10000,,,583639225.0,ns,4311
split_off,pvec-rrbvec-relaxed,10000,,,643762768.0,ns,4790
