group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
split_off,pvec-rrbvec-relaxed,80000,,,66339146.0,ns,52
split_off,pvec-rrbvec-relaxed,80000,,,130459904.0,ns,104
split_off,pvec-rrbvec-relaxed,80000,,,195801458.0,ns,156
split_off,pvec-rrbvec-relaxed,80000,,,269464663.0,ns,208
split_off,pvec-rrbvec-relaxed,80000,,,336046113.0,ns,260
split_off,pvec-rrbvec-relaxed,80000,,,407954508.0,ns,312
split_off,pvec-rrbvec-relaxed,80000,,,474205025.0,ns,364
split_off,pvec-rrbvec-relaxed,80000,,,542904921.0,ns,416
split_off,pvec-rrbvec-relaxed,80000,,,596890644.0,ns,468
split_off,pvec-rrbvec-relaxed,80000,,,674772460.0,ns,520
