group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
split_off,pvec-std,768,,,45114197.0,ns,25317
split_off,pvec-std,768,,,83000640.0,ns,50634
split_off,pvec-std,768,,,125428781.0,ns,75951
split_off,pvec-std,768,,,167963730.0,ns,101268
split_off,pvec-std,768,,,213805922.0,ns,126585
split_off,pvec-std,768,,,256001541.0,ns,151902
split_off,pvec-std,768,,,297958031.0,ns,177219
split_off,pvec-std,768,,,348189113.0,ns,202536
split_off,pvec-std,768,,,384814943.0,ns,227853
split_off,pvec-std,768,,,431510975.0,ns,253170
