group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
split_off,rbvec,2048,,,89437522.0,ns,298
split_off,rbvec,2048,,,176649437.0,ns,596
split_off,rbvec,2048,,,266574809.0,ns,894
split_off,rbvec,2048,,,353865814.0,ns,1192
split_off,rbvec,2048,,,443407509.0,ns,1490
split_off,rbvec,2048,,,532421023.0,ns,1788
split_off,rbvec,2048,,,619543296.0,ns,2086
split_off,rbvec,2048,,,713436683.0,ns,2384
split_off,rbvec,2048,,,799338430.0,ns,2682
split_off,rbvec,2048,,,893692716.0,ns,2980
