group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
split_off,rrbvec,60000,,,68718371.0,ns,74
split_off,rrbvec,60000,,,135862329.0,ns,148
split_off,rrbvec,60000,,,204624140.0,ns,222
split_off,rrbvec,60000,,,273494617.0,ns,296
split_off,rrbvec,60000,,,356301007.0,ns,370
split_off,rrbvec,60000,,,413683867.0,ns,444
split_off,rrbvec,60000,,,472805527.0,ns,518
split_off,rrbvec,60000,,,554314751.0,ns,592
split_off,rrbvec,60000,,,628922430.0,ns,666
split_off,rrbvec,60000,,,691375725.0,ns,740
