group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
split_off,std-vec,2048,,,48684692.0,ns,9792
split_off,std-vec,2048,,,96958763.0,ns,19584
split_off,std-vec,2048,,,143277908.0,ns,29376
split_off,std-vec,2048,,,191004251.0,ns,39168
split_off,std-vec,2048,,,240900302.0,ns,48960
split_off,std-vec,2048,,,289134731.0,ns,58752
split_off,std-vec,2048,,,337566365.0,ns,68544
split_off,std-vec,2048,,,386702310.0,ns,78336
split_off,std-vec,2048,,,445532116.0,ns,88128
split_off,std-vec,2048,,,491328432.0,ns,97920
