group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update,im-rs-vector-balanced,100,,,29699919.0,ns,29635
update,im-rs-vector-balanced,100,,,57038891.0,ns,59270
update,im-rs-vector-balanced,100,,,89015288.0,ns,88905
update,im-rs-vector-balanced,100,,,122750787.0,ns,118540
update,im-rs-vector-balanced,100,,,151963657.0,ns,148175
update,im-rs-vector-balanced,100,,,185732394.0,ns,177810
update,im-rs-vector-balanced,100,,,215641493.0,ns,207445
update,im-rs-vector-balanced,100,,,247678545.0,ns,237080
update,im-rs-vector-balanced,100,,,279357138.0,ns,266715
update,im-rs-vector-balanced,100,,,311343843.0,ns,296350
