group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update,im-rs-vector-relaxed,1000,,,53781222.0,ns,1590
update,im-rs-vector-relaxed,1000,,,104195891.0,ns,3180
update,im-rs-vector-relaxed,1000,,,154771634.0,ns,4770
update,im-rs-vector-relaxed,1000,,,206101826.0,ns,6360
update,im-rs-vector-relaxed,1000,,,258018108.0,ns,7950
update,im-rs-vector-relaxed,1000,,,311490490.0,ns,9540
update,im-rs-vector-relaxed,1000,,,364643398.0,ns,11130
update,im-rs-vector-relaxed,1000,,,414976136.0,ns,12720
update,im-rs-vector-relaxed,1000,,,469251250.0,ns,14310
update,im-rs-vector-relaxed,1000,,,520853671.0,ns,15900
