group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update,pvec-rrbvec-relaxed,20000,,,59354279.0,ns,115
update,pvec-rrbvec-relaxed,20000,,,118666746.0,ns,230
update,pvec-rrbvec-relaxed,20000,,,184410373.0,ns,345
update,pvec-rrbvec-relaxed,20000,,,239707779.0,ns,460
update,pvec-rrbvec-relaxed,20000,,,298811933.0,ns,575
update,pvec-rrbvec-relaxed,20000,,,361482065.0,ns,690
update,pvec-rrbvec-relaxed,20000,,,420961940.0,ns,805
update,pvec-rrbvec-relaxed,20000,,,481157101.0,ns,920
update,pvec-rrbvec-relaxed,20000,,,542296746.0,ns,1035
update,pvec-rrbvec-relaxed,20000,,,599083022.0,ns,1150
