group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update,rbvec,10000,,,60617960.0,ns,268
update,rbvec,10000,,,121306325.0,ns,536
update,rbvec,10000,,,181871929.0,ns,804
update,rbvec,10000,,,243474831.0,ns,1072
update,rbvec,10000,,,304616922.0,ns,1340
update,rbvec,10000,,,366037209.0,ns,1608
update,rbvec,10000,,,428385999.0,ns,1876
update,rbvec,10000,,,489529769.0,ns,2144
update,rbvec,10000,,,553947724.0,ns,2412
update,rbvec,10000,,,611593126.0,ns,2680
