group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update,std-vec,80,,,7041353.0,ns,92689
update,std-vec,80,,,12492173.0,ns,185378
update,std-vec,80,,,21462183.0,ns,278067
update,std-vec,80,,,29101579.0,ns,370756
update,std-vec,80,,,37344139.0,ns,463445
update,std-vec,80,,,45439547.0,ns,556134
update,std-vec,80,,,56901350.0,ns,648823
update,std-vec,80,,,61231034.0,ns,741512
update,std-vec,80,,,68926272.0,ns,834201
update,std-vec,80,,,79490156.0,ns,926890
