group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update,std-vec,80000,,,24170551.0,ns,368
update,std-vec,80000,,,40694368.0,ns,736
update,std-vec,80000,,,61044857.0,ns,1104
update,std-vec,80000,,,82456703.0,ns,1472
update,std-vec,80000,,,104737122.0,ns,1840
update,std-vec,80000,,,127618424.0,ns,2208
update,std-vec,80000,,,149544818.0,ns,2576
update,std-vec,80000,,,172634942.0,ns,2944
update,std-vec,80000,,,196022815.0,ns,3312
update,std-vec,80000,,,217662310.0,ns,3680
