group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone,im-rs-vector-balanced,8000,,,90845350.0,ns,9
update_clone,im-rs-vector-balanced,8000,,,180969654.0,ns,18
update_clone,im-rs-vector-balanced,8000,,,271591724.0,ns,27
update_clone,im-rs-vector-balanced,8000,,,363360896.0,ns,36
update_clone,im-rs-vector-balanced,8000,,,453004496.0,ns,45
update_clone,im-rs-vector-balanced,8000,,,549619585.0,ns,54
update_clone,im-rs-vector-balanced,8000,,,634738053.0,ns,63
update_clone,im-rs-vector-balanced,8000,,,725564280.0,ns,72
update_clone,im-rs-vector-balanced,8000,,,817872630.0,ns,81
update_clone,im-rs-vector-balanced,8000,,,906217871.0,ns,90
