group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone,pvec-rrbvec-balanced,100,,,84860003.0,ns,2651
update_clone,pvec-rrbvec-balanced,100,,,168767571.0,ns,5302
update_clone,pvec-rrbvec-balanced,100,,,254044397.0,ns,7953
update_clone,pvec-rrbvec-balanced,100,,,340014370.0,ns,10604
update_clone,pvec-rrbvec-balanced,100,,,423925905.0,ns,13255
update_clone,pvec-rrbvec-balanced,100,,,509669384.0,ns,15906
update_clone,pvec-rrbvec-balanced,100,,,595848498.0,ns,18557
update_clone,pvec-rrbvec-balanced,100,,,675929567.0,ns,21208
update_clone,pvec-rrbvec-balanced,100,,,761935995.0,ns,23859
update_clone,pvec-rrbvec-balanced,100,,,840891115.0,ns,26510
