group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone,pvec-std,80,,,85731300.0,ns,3936
update_clone,pvec-std,80,,,171684506.0,ns,7872
update_clone,pvec-std,80,,,261708341.0,ns,11808
update_clone,pvec-std,80,,,345389048.0,ns,15744
update_clone,pvec-std,80,,,430915058.0,ns,19680
update_clone,pvec-std,80,,,516608641.0,ns,23616
update_clone,pvec-std,80,,,607317858.0,ns,27552
update_clone,pvec-std,80,,,687902593.0,ns,31488
update_clone,pvec-std,80,,,779743543.0,ns,35424
update_clone,pvec-std,80,,,852769292.0,ns,39360
