group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone,rbvec,20000,,,104253459.0,ns,6
update_clone,rbvec,20000,,,205505327.0,ns,12
update_clone,rbvec,20000,,,310083691.0,ns,18
update_clone,rbvec,20000,,,413389407.0,ns,24
update_clone,rbvec,20000,,,515589576.0,ns,30
update_clone,rbvec,20000,,,617829066.0,ns,36
update_clone,rbvec,20000,,,719417640.0,ns,42
update_clone,rbvec,20000,,,820704132.0,ns,48
update_clone,rbvec,20000,,,920641139.0,ns,54
update_clone,rbvec,20000,,,1021302783.0,ns,60
