group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone,rrbvec,20,,,66528536.0,ns,77010
update_clone,rrbvec,20,,,119664610.0,ns,154020
update_clone,rrbvec,20,,,187686633.0,ns,231030
update_clone,rrbvec,20,,,252975122.0,ns,308040
update_clone,rrbvec,20,,,313896547.0,ns,385050
update_clone,rrbvec,20,,,371698033.0,ns,462060
update_clone,rrbvec,20,,,435359985.0,ns,539070
update_clone,rrbvec,20,,,496904022.0,ns,616080
update_clone,rrbvec,20,,,557331960.0,ns,693090
update_clone,rrbvec,20,,,616433006.0,ns,770100
