group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone,std-vec,2000,,,89834721.0,ns,148
update_clone,std-vec,2000,,,180995486.0,ns,296
update_clone,std-vec,2000,,,266610605.0,ns,444
update_clone,std-vec,2000,,,355443640.0,ns,592
update_clone,std-vec,2000,,,449516580.0,ns,740
update_clone,std-vec,2000,,,543576483.0,ns,888
update_clone,std-vec,2000,,,616817998.0,ns,1036
update_clone,std-vec,2000,,,707488135.0,ns,1184
update_clone,std-vec,2000,,,812998525.0,ns,1332
update_clone,std-vec,2000,,,897994700.0,ns,1480
