group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone,std-vec,400,,,83764572.0,ns,2422
update_clone,std-vec,400,,,165785843.0,ns,4844
update_clone,std-vec,400,,,248870625.0,ns,7266
update_clone,std-vec,400,,,341402817.0,ns,9688
update_clone,std-vec,400,,,449122442.0,ns,12110
update_clone,std-vec,400,,,543065947.0,ns,14532
update_clone,std-vec,400,,,605280919.0,ns,16954
update_clone,std-vec,400,,,699510811.0,ns,19376
update_clone,std-vec,400,,,798333739.0,ns,21798
update_clone,std-vec,400,,,867118592.0,ns,24220
