group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone_randomly,im-rs-vector-balanced,80,,,79030303.0,ns,5572
update_clone_randomly,im-rs-vector-balanced,80,,,157413022.0,ns,11144
update_clone_randomly,im-rs-vector-balanced,80,,,236613969.0,ns,16716
update_clone_randomly,im-rs-vector-balanced,80,,,315656684.0,ns,22288
update_clone_randomly,im-rs-vector-balanced,80,,,393998510.0,ns,27860
update_clone_randomly,im-rs-vector-balanced,80,,,472318855.0,ns,33432
update_clone_randomly,im-rs-vector-balanced,80,,,552218928.0,ns,39004
update_clone_randomly,im-rs-vector-balanced,80,,,632419733.0,ns,44576
update_clone_randomly,im-rs-vector-balanced,80,,,712020998.0,ns,50148
update_clone_randomly,im-rs-vector-balanced,80,,,790831181.0,ns,55720
