group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone_randomly,im-rs-vector-relaxed,400,,,85401229.0,ns,503
update_clone_randomly,im-rs-vector-relaxed,400,,,168938566.0,ns,1006
update_clone_randomly,im-rs-vector-relaxed,400,,,253103685.0,ns,1509
update_clone_randomly,im-rs-vector-relaxed,400,,,338500623.0,ns,2012
update_clone_randomly,im-rs-vector-relaxed,400,,,423530824.0,ns,2515
update_clone_randomly,im-rs-vector-relaxed,400,,,507623162.0,ns,3018
update_clone_randomly,im-rs-vector-relaxed,400,,,591398029.0,ns,3521
update_clone_randomly,im-rs-vector-relaxed,400,,,681454841.0,ns,4024
update_clone_randomly,im-rs-vector-relaxed,400,,,765325268.0,ns,4527
update_clone_randomly,im-rs-vector-relaxed,400,,,847026503.0,ns,5030
