group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone_randomly,pvec-rrbvec-balanced,400,,,85137877.0,ns,540
update_clone_randomly,pvec-rrbvec-balanced,400,,,170333472.0,ns,1080
update_clone_randomly,pvec-rrbvec-balanced,400,,,259141005.0,ns,1620
update_clone_randomly,pvec-rrbvec-balanced,400,,,346937304.0,ns,2160
update_clone_randomly,pvec-rrbvec-balanced,400,,,429121800.0,ns,2700
update_clone_randomly,pvec-rrbvec-balanced,400,,,513762654.0,ns,3240
update_clone_randomly,pvec-rrbvec-balanced,400,,,600265938.0,ns,3780
update_clone_randomly,pvec-rrbvec-balanced,400,,,686284374.0,ns,4320
update_clone_randomly,pvec-rrbvec-balanced,400,,,777888635.0,ns,4860
update_clone_randomly,pvec-rrbvec-balanced,400,,,861604949.0,ns,5400
