group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone_randomly,pvec-rrbvec-relaxed,400,,,87329290.0,ns,558
update_clone_randomly,pvec-rrbvec-relaxed,400,,,170896221.0,ns,1116
update_clone_randomly,pvec-rrbvec-relaxed,400,,,257026037.0,ns,1674
update_clone_randomly,pvec-rrbvec-relaxed,400,,,339282324.0,ns,2232
update_clone_randomly,pvec-rrbvec-relaxed,400,,,421789162.0,ns,2790
update_clone_randomly,pvec-rrbvec-relaxed,400,,,511459936.0,ns,3348
update_clone_randomly,pvec-rrbvec-relaxed,400,,,593178835.0,ns,3906
update_clone_randomly,pvec-rrbvec-relaxed,400,,,682773654.0,ns,4464
update_clone_randomly,pvec-rrbvec-relaxed,400,,,759643543.0,ns,5022
update_clone_randomly,pvec-rrbvec-relaxed,400,,,842643080.0,ns,5580
