group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone_randomly,pvec-rrbvec-relaxed,800,,,86831943.0,ns,214
update_clone_randomly,pvec-rrbvec-relaxed,800,,,173564403.0,ns,428
update_clone_randomly,pvec-rrbvec-relaxed,800,,,260332800.0,ns,642
update_clone_randomly,pvec-rrbvec-relaxed,800,,,350053648.0,ns,856
update_clone_randomly,pvec-rrbvec-relaxed,800,,,435735838.0,ns,1070
update_clone_randomly,pvec-rrbvec-relaxed,800,,,521520493.0,ns,1284
update_clone_randomly,pvec-rrbvec-relaxed,800,,,615519208.0,ns,1498
update_clone_randomly,pvec-rrbvec-relaxed,800,,,693329452.0,ns,1712
update_clone_randomly,pvec-rrbvec-relaxed,800,,,780539522.0,ns,1926
update_clone_randomly,pvec-rrbvec-relaxed,800,,,864754844.0,ns,2140
