group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone_randomly,pvec-std,10000,,,97476050.0,ns,12
update_clone_randomly,pvec-std,10000,,,194095554.0,ns,24
update_clone_randomly,pvec-std,10000,,,291038173.0,ns,36
update_clone_randomly,pvec-std,10000,,,392276917.0,ns,48
update_clone_randomly,pvec-std,10000,,,486225743.0,ns,60
update_clone_randomly,pvec-std,10000,,,583534332.0,ns,72
update_clone_randomly,pvec-std,10000,,,680943821.0,ns,84
update_clone_randomly,pvec-std,10000,,,777966865.0,ns,96
update_clone_randomly,pvec-std,10000,,,874048928.0,ns,108
update_clone_randomly,pvec-std,10000,,,971946000.0,ns,120
