group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone_randomly,rbvec,100,,,84712641.0,ns,2652
update_clone_randomly,rbvec,100,,,169012128.0,ns,5304
update_clone_randomly,rbvec,100,,,255053031.0,ns,7956
update_clone_randomly,rbvec,100,,,339674357.0,ns,10608
update_clone_randomly,rbvec,100,,,426622876.0,ns,13260
update_clone_randomly,rbvec,100,,,512744495.0,ns,15912
update_clone_randomly,rbvec,100,,,600100457.0,ns,18564
update_clone_randomly,rbvec,100,,,688029945.0,ns,21216
update_clone_randomly,rbvec,100,,,775177074.0,ns,23868
update_clone_randomly,rbvec,100,,,862865368.0,ns,26520
