group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone_randomly,rrbvec,60,,,80139372.0,ns,11803
update_clone_randomly,rrbvec,60,,,155602590.0,ns,23606
update_clone_randomly,rrbvec,60,,,233425770.0,ns,35409
update_clone_randomly,rrbvec,60,,,317567813.0,ns,47212
update_clone_randomly,rrbvec,60,,,392888500.0,ns,59015
update_clone_randomly,rrbvec,60,,,476035680.0,ns,70818
update_clone_randomly,rrbvec,60,,,553751063.0,ns,82621
update_clone_randomly,rrbvec,60,,,636576980.0,ns,94424
update_clone_randomly,rrbvec,60,,,710605987.0,ns,106227
update_clone_randomly,rrbvec,60,,,800633211.0,ns,118030
