group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone_randomly,rrbvec,600,,,86088577.0,ns,338
update_clone_randomly,rrbvec,600,,,172226263.0,ns,676
update_clone_randomly,rrbvec,600,,,263100190.0,ns,1014
update_clone_randomly,rrbvec,600,,,347452812.0,ns,1352
update_clone_randomly,rrbvec,600,,,431308008.0,ns,1690
update_clone_randomly,rrbvec,600,,,515572641.0,ns,2028
update_clone_randomly,rrbvec,600,,,605690574.0,ns,2366
update_clone_randomly,rrbvec,600,,,684863766.0,ns,2704
update_clone_randomly,rrbvec,600,,,766146083.0,ns,3042
update_clone_randomly,rrbvec,600,,,855465667.0,ns,3380
