group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone_randomly,std-vec,600,,,85197312.0,ns,1352
update_clone_randomly,std-vec,600,,,170762483.0,ns,2704
update_clone_randomly,std-vec,600,,,263028415.0,ns,4056
update_clone_randomly,std-vec,600,,,342686574.0,ns,5408
update_clone_randomly,std-vec,600,,,431911800.0,ns,6760
update_clone_randomly,std-vec,600,,,513279805.0,ns,8112
update_clone_randomly,std-vec,600,,,612891803.0,ns,9464
update_clone_randomly,std-vec,600,,,692816539.0,ns,10816
update_clone_randomly,std-vec,600,,,781389270.0,ns,12168
update_clone_randomly,std-vec,600,,,880999937.0,ns,13520
