group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_randomly,im-rs-vector-relaxed,80000,,,72341420.0,ns,14
update_randomly,im-rs-vector-relaxed,80000,,,145950310.0,ns,28
update_randomly,im-rs-vector-relaxed,80000,,,216013310.0,ns,42
update_randomly,im-rs-vector-relaxed,80000,,,287291683.0,ns,56
update_randomly,im-rs-vector-relaxed,80000,,,361136909.0,ns,70
update_randomly,im-rs-vector-relaxed,80000,,,433357222.0,ns,84
update_randomly,im-rs-vector-relaxed,80000,,,502998613.0,ns,98
update_randomly,im-rs-vector-relaxed,80000,,,573160454.0,ns,112
update_randomly,im-rs-vector-relaxed,80000,,,647158783.0,ns,126
update_randomly,im-rs-vector-relaxed,80000,,,719513863.0,ns,140
