group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_randomly,pvec-std,400,,,56882828.0,ns,17353
update_randomly,pvec-std,400,,,104633494.0,ns,34706
update_randomly,pvec-std,400,,,165684283.0,ns,52059
update_randomly,pvec-std,400,,,234313372.0,ns,69412
update_randomly,pvec-std,400,,,319355093.0,ns,86765
update_randomly,pvec-std,400,,,387457605.0,ns,104118
update_randomly,pvec-std,400,,,433992138.0,ns,121471
update_randomly,pvec-std,400,,,500288395.0,ns,138824
update_randomly,pvec-std,400,,,570375602.0,ns,156177
update_randomly,pvec-std,400,,,632556045.0,ns,173530
