group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_randomly,rbvec,100000,,,69090136.0,ns,18
update_randomly,rbvec,100000,,,137894109.0,ns,36
update_randomly,rbvec,100000,,,208518910.0,ns,54
update_randomly,rbvec,100000,,,286060477.0,ns,72
update_randomly,rbvec,100000,,,347908596.0,ns,90
update_randomly,rbvec,100000,,,421728222.0,ns,108
update_randomly,rbvec,100000,,,496770821.0,ns,126
update_randomly,rbvec,100000,,,572077122.0,ns,144
update_randomly,rbvec,100000,,,643334294.0,ns,162
update_randomly,rbvec,100000,,,718580502.0,ns,180
