group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_randomly,rbvec,40,,,51731757.0,ns,81429
update_randomly,rbvec,40,,,99012694.0,ns,162858
update_randomly,rbvec,40,,,165982467.0,ns,244287
update_randomly,rbvec,40,,,218375233.0,ns,325716
update_randomly,rbvec,40,,,270044836.0,ns,407145
update_randomly,rbvec,40,,,324767058.0,ns,488574
update_randomly,rbvec,40,,,379738356.0,ns,570003
update_randomly,rbvec,40,,,433205754.0,ns,651432
update_randomly,rbvec,40,,,493019125.0,ns,732861
update_randomly,rbvec,40,,,539294491.0,ns,814290
