group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_randomly,std-vec,100000,,,59370281.0,ns,74
update_randomly,std-vec,100000,,,110630309.0,ns,148
update_randomly,std-vec,100000,,,213788991.0,ns,222
update_randomly,std-vec,100000,,,304348429.0,ns,296
update_randomly,std-vec,100000,,,381065179.0,ns,370
update_randomly,std-vec,100000,,,454835218.0,ns,444
update_randomly,std-vec,100000,,,530695666.0,ns,518
update_randomly,std-vec,100000,,,606617851.0,ns,592
update_randomly,std-vec,100000,,,685437892.0,ns,666
update_randomly,std-vec,100000,,,778917276.0,ns,740
