group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_randomly,std-vec,20,,,15492087.0,ns,108812
update_randomly,std-vec,20,,,30119660.0,ns,217624
update_randomly,std-vec,20,,,45509634.0,ns,326436
update_randomly,std-vec,20,,,60419206.0,ns,435248
update_randomly,std-vec,20,,,76166464.0,ns,544060
update_randomly,std-vec,20,,,92842195.0,ns,652872
update_randomly,std-vec,20,,,108409531.0,ns,761684
update_randomly,std-vec,20,,,124422660.0,ns,870496
update_randomly,std-vec,20,,,140039347.0,ns,979308
update_randomly,std-vec,20,,,156474731.0,ns,1088120
