group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vector_addition_with_thread_num_1,rrbvec,40,,,75618203.0,ns,14924
vector_addition_with_thread_num_1,rrbvec,40,,,151160760.0,ns,29848
vector_addition_with_thread_num_1,rrbvec,40,,,231088459.0,ns,44772
vector_addition_with_thread_num_1,rrbvec,40,,,307899493.0,ns,59696
vector_addition_with_thread_num_1,rrbvec,40,,,387620033.0,ns,74620
vector_addition_with_thread_num_1,rrbvec,40,,,467659023.0,ns,89544
vector_addition_with_thread_num_1,rrbvec,40,,,550917910.0,ns,104468
vector_addition_with_thread_num_1,rrbvec,40,,,632519141.0,ns,119392
vector_addition_with_thread_num_1,rrbvec,40,,,716426302.0,ns,134316
vector_addition_with_thread_num_1,rrbvec,40,,,797161396.0,ns,149240
