group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vector_addition_with_thread_num_16,pvec-std,80,,,94568395.0,ns,1369
vector_addition_with_thread_num_16,pvec-std,80,,,192985377.0,ns,2738
vector_addition_with_thread_num_16,pvec-std,80,,,282511876.0,ns,4107
vector_addition_with_thread_num_16,pvec-std,80,,,370719738.0,ns,5476
vector_addition_with_thread_num_16,pvec-std,80,,,470827691.0,ns,6845
vector_addition_with_thread_num_16,pvec-std,80,,,557559491.0,ns,8214
vector_addition_with_thread_num_16,pvec-std,80,,,646138236.0,ns,9583
vector_addition_with_thread_num_16,pvec-std,80,,,735205425.0,ns,10952
vector_addition_with_thread_num_16,pvec-std,80,,,828511911.0,ns,12321
vector_addition_with_thread_num_16,pvec-std,80,,,943654554.0,ns,13690
