group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vector_addition_with_thread_num_2,pvec-rrbvec-relaxed,10000,,,61113342.0,ns,111
vector_addition_with_thread_num_2,pvec-rrbvec-relaxed,10000,,,128345262.0,ns,222
vector_addition_with_thread_num_2,pvec-rrbvec-relaxed,10000,,,188318829.0,ns,333
vector_addition_with_thread_num_2,pvec-rrbvec-relaxed,10000,,,254772414.0,ns,444
vector_addition_with_thread_num_2,pvec-rrbvec-relaxed,10000,,,318322602.0,ns,555
vector_addition_with_thread_num_2,pvec-rrbvec-relaxed,10000,,,395537124.0,ns,666
vector_addition_with_thread_num_2,pvec-rrbvec-relaxed,10000,,,460024900.0,ns,777
vector_addition_with_thread_num_2,pvec-rrbvec-relaxed,10000,,,517821230.0,ns,888
vector_addition_with_thread_num_2,pvec-rrbvec-relaxed,10000,,,583025175.0,ns,999
vector_addition_with_thread_num_2,pvec-rrbvec-relaxed,10000,,,647812040.0,ns,1110
