group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vector_addition_with_thread_num_2,pvec-rrbvec-relaxed,40,,,89770685.0,ns,4401
vector_addition_with_thread_num_2,pvec-rrbvec-relaxed,40,,,172191252.0,ns,8802
vector_addition_with_thread_num_2,pvec-rrbvec-relaxed,40,,,265745724.0,ns,13203
vector_addition_with_thread_num_2,pvec-rrbvec-relaxed,40,,,354722900.0,ns,17604
vector_addition_with_thread_num_2,pvec-rrbvec-relaxed,40,,,445873093.0,ns,22005
vector_addition_with_thread_num_2,pvec-rrbvec-relaxed,40,,,529271766.0,ns,26406
vector_addition_with_thread_num_2,pvec-rrbvec-relaxed,40,,,610475515.0,ns,30807
vector_addition_with_thread_num_2,pvec-rrbvec-relaxed,40,,,705192613.0,ns,35208
vector_addition_with_thread_num_2,pvec-rrbvec-relaxed,40,,,800502112.0,ns,39609
vector_addition_with_thread_num_2,pvec-rrbvec-relaxed,40,,,884390835.0,ns,44010
