group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vector_addition_with_thread_num_4,rrbvec,800,,,83847044.0,ns,695
vector_addition_with_thread_num_4,rrbvec,800,,,161949598.0,ns,1390
vector_addition_with_thread_num_4,rrbvec,800,,,233117982.0,ns,2085
vector_addition_with_thread_num_4,rrbvec,800,,,318349231.0,ns,2780
vector_addition_with_thread_num_4,rrbvec,800,,,396820032.0,ns,3475
vector_addition_with_thread_num_4,rrbvec,800,,,479970701.0,ns,4170
vector_addition_with_thread_num_4,rrbvec,800,,,550442496.0,ns,4865
vector_addition_with_thread_num_4,rrbvec,800,,,631621097.0,ns,5560
vector_addition_with_thread_num_4,rrbvec,800,,,713730038.0,ns,6255
vector_addition_with_thread_num_4,rrbvec,800,,,793819192.0,ns,6950
