group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
words_map_with_thread_num_16,pvec-rrbvec-relaxed,60000,,,47665477.0,ns,20
words_map_with_thread_num_16,pvec-rrbvec-relaxed,60000,,,101721776.0,ns,40
words_map_with_thread_num_16,pvec-rrbvec-relaxed,60000,,,149032200.0,ns,60
words_map_with_thread_num_16,pvec-rrbvec-relaxed,60000,,,198672029.0,ns,80
words_map_with_thread_num_16,pvec-rrbvec-relaxed,60000,,,250401134.0,ns,100
words_map_with_thread_num_16,pvec-rrbvec-relaxed,60000,,,303888577.0,ns,120
words_map_with_thread_num_16,pvec-rrbvec-relaxed,60000,,,355534326.0,ns,140
words_map_with_thread_num_16,pvec-rrbvec-relaxed,60000,,,400794088.0,ns,160
words_map_with_thread_num_16,pvec-rrbvec-relaxed,60000,,,452820695.0,ns,180
words_map_with_thread_num_16,pvec-rrbvec-relaxed,60000,,,505066245.0,ns,200
