group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
words_map_with_thread_num_16,pvec-rrbvec-relaxed,80000,,,50570695.0,ns,16
words_map_with_thread_num_16,pvec-rrbvec-relaxed,80000,,,98843449.0,ns,32
words_map_with_thread_num_16,pvec-rrbvec-relaxed,80000,,,147682573.0,ns,48
words_map_with_thread_num_16,pvec-rrbvec-relaxed,80000,,,201361322.0,ns,64
words_map_with_thread_num_16,pvec-rrbvec-relaxed,80000,,,250441599.0,ns,80
words_map_with_thread_num_16,pvec-rrbvec-relaxed,80000,,,299705925.0,ns,96
words_map_with_thread_num_16,pvec-rrbvec-relaxed,80000,,,348226507.0,ns,112
words_map_with_thread_num_16,pvec-rrbvec-relaxed,80000,,,399834728.0,ns,128
words_map_with_thread_num_16,pvec-rrbvec-relaxed,80000,,,449288616.0,ns,144
words_map_with_thread_num_16,pvec-rrbvec-relaxed,80000,,,501007897.0,ns,160
