group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
words_map_with_thread_num_16,rbvec,100000,,,71503663.0,ns,8
words_map_with_thread_num_16,rbvec,100000,,,146359792.0,ns,16
words_map_with_thread_num_16,rbvec,100000,,,224967353.0,ns,24
words_map_with_thread_num_16,rbvec,100000,,,293999288.0,ns,32
words_map_with_thread_num_16,rbvec,100000,,,367020261.0,ns,40
words_map_with_thread_num_16,rbvec,100000,,,446799916.0,ns,48
words_map_with_thread_num_16,rbvec,100000,,,517214532.0,ns,56
words_map_with_thread_num_16,rbvec,100000,,,586723166.0,ns,64
words_map_with_thread_num_16,rbvec,100000,,,662958943.0,ns,72
words_map_with_thread_num_16,rbvec,100000,,,734060401.0,ns,80
