group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
words_map_with_thread_num_16,std-vec,80000,,,23475134.0,ns,30
words_map_with_thread_num_16,std-vec,80000,,,48512296.0,ns,60
words_map_with_thread_num_16,std-vec,80000,,,71255018.0,ns,90
words_map_with_thread_num_16,std-vec,80000,,,94921145.0,ns,120
words_map_with_thread_num_16,std-vec,80000,,,120327585.0,ns,150
words_map_with_thread_num_16,std-vec,80000,,,146014138.0,ns,180
words_map_with_thread_num_16,std-vec,80000,,,173537360.0,ns,210
words_map_with_thread_num_16,std-vec,80000,,,193528634.0,ns,240
words_map_with_thread_num_16,std-vec,80000,,,224918978.0,ns,270
words_map_with_thread_num_16,std-vec,80000,,,246237239.0,ns,300
