group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
words_map_with_thread_num_4,rbvec,60000,,,60496801.0,ns,14
words_map_with_thread_num_4,rbvec,60000,,,122455908.0,ns,28
words_map_with_thread_num_4,rbvec,60000,,,184730896.0,ns,42
words_map_with_thread_num_4,rbvec,60000,,,252467089.0,ns,56
words_map_with_thread_num_4,rbvec,60000,,,313322055.0,ns,70
words_map_with_thread_num_4,rbvec,60000,,,375845027.0,ns,84
words_map_with_thread_num_4,rbvec,60000,,,434455023.0,ns,98
words_map_with_thread_num_4,rbvec,60000,,,504484428.0,ns,112
words_map_with_thread_num_4,rbvec,60000,,,578926928.0,ns,126
words_map_with_thread_num_4,rbvec,60000,,,622732515.0,ns,140
