group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
words_map_with_thread_num_4,std-vec,80000,,,23300806.0,ns,34
words_map_with_thread_num_4,std-vec,80000,,,46133792.0,ns,68
words_map_with_thread_num_4,std-vec,80000,,,70222931.0,ns,102
words_map_with_thread_num_4,std-vec,80000,,,93404959.0,ns,136
words_map_with_thread_num_4,std-vec,80000,,,120365421.0,ns,170
words_map_with_thread_num_4,std-vec,80000,,,140368322.0,ns,204
words_map_with_thread_num_4,std-vec,80000,,,165201917.0,ns,238
words_map_with_thread_num_4,std-vec,80000,,,197445028.0,ns,272
words_map_with_thread_num_4,std-vec,80000,,,215923152.0,ns,306
words_map_with_thread_num_4,std-vec,80000,,,236737500.0,ns,340
